UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
7499,,,300.2,311.8,7.466799475018602,28.5,184.0,0.0,0.0,0.0,0.0,0.0,0.0
2928,,,300.7,310.1,7.259819610363186,49.8,165.0,0.0,0.0,0.0,0.0,0.0,0.0
4411,,,302.5,310.2,7.369600720526409,32.2,64.0,0.0,0.0,0.0,0.0,0.0,0.0
4402,,,302.2,310.0,7.292337176173877,43.6,38.0,0.0,0.0,0.0,0.0,0.0,0.0
7264,,,300.4,310.1,7.265429723253953,46.9,19.0,0.0,0.0,0.0,0.0,0.0,0.0
4224,,,302.0,310.7,7.4133673356952405,31.9,37.0,0.0,0.0,0.0,0.0,0.0,0.0
1645,,,298.0,310.1,7.392031567514591,33.3,121.0,0.0,0.0,0.0,0.0,0.0,0.0
3931,,,302.6,311.6,7.621684998724611,19.2,174.0,0.0,0.0,0.0,0.0,0.0,0.0
6775,,,301.2,310.7,7.466227556215481,27.3,35.0,0.0,0.0,0.0,0.0,0.0,0.0
7135,,,300.5,310.0,7.249215057114389,50.2,119.0,0.0,0.0,0.0,0.0,0.0,0.0
9125,,,297.4,308.4,7.2633296174768365,50.4,70.0,0.0,0.0,0.0,0.0,0.0,0.0
6142,,,300.8,310.8,7.304515946460155,45.7,146.0,0.0,0.0,0.0,0.0,0.0,0.0
6140,,,300.8,310.7,7.369600720526409,33.4,142.0,0.0,0.0,0.0,0.0,0.0,0.0
3581,,,301.8,310.6,7.409136443920128,31.9,126.0,0.0,0.0,0.0,0.0,0.0,0.0
7405,,,299.8,310.8,7.348587530927593,32.2,161.0,0.0,0.0,0.0,0.0,0.0,0.0
3379,,,301.5,310.7,7.358193752733032,33.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0
4407,,,302.5,310.3,7.190676034332207,58.5,55.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0
4654,,,303.1,311.1,7.374629015218945,35.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
6593,,,301.6,310.7,7.284820912568604,47.8,7.0,0.0,0.0,0.0,0.0,0.0,0.0
1945,,,298.1,308.1,7.491087593534876,27.3,63.0,0.0,0.0,0.0,0.0,0.0,0.0
9582,,,299.4,310.6,7.257707677160043,53.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0
9294,,,298.3,309.1,7.271008538280992,38.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
2452,,,299.2,308.7,7.409136443920128,30.5,93.0,0.0,0.0,0.0,0.0,0.0,0.0
5324,,,303.4,312.7,7.24422751560335,48.4,34.0,0.0,0.0,0.0,0.0,0.0,0.0
564,,,297.7,309.6,7.333023014386481,35.2,153.0,0.0,0.0,0.0,0.0,0.0,0.0
7379,,,299.5,310.0,7.236339342754344,52.4,94.0,0.0,0.0,0.0,0.0,0.0,0.0
368,,,297.6,308.4,7.358830898342354,38.3,93.0,0.0,0.0,0.0,0.0,0.0,0.0
1313,,,298.9,310.1,7.295735072749282,42.6,164.0,0.0,0.0,0.0,0.0,0.0,0.0
4825,,,303.4,310.1,7.313220387090301,45.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
1368,,,298.8,310.2,7.366445148327599,37.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0
9997,,,298.9,308.4,7.398174092970465,31.8,17.0,0.0,0.0,0.0,0.0,0.0,0.0
1695,,,298.0,307.5,7.389563953677635,35.2,31.0,0.0,0.0,0.0,0.0,0.0,0.0
8568,,,298.0,308.7,7.321188556739478,45.8,114.0,0.0,0.0,0.0,0.0,0.0,0.0
4710,,,303.4,311.6,7.277247726631484,50.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0
3605,,,301.8,310.8,7.351158226430694,33.3,190.0,0.0,0.0,0.0,0.0,0.0,0.0
5942,,,300.6,310.7,7.271703706887368,48.5,78.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0
2173,,,299.5,309.2,7.504942068396171,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
3718,,,302.3,311.4,7.275172319452771,44.1,51.0,0.0,0.0,0.0,0.0,0.0,0.0
37,,,298.9,309.2,7.366445148327599,36.7,101.0,0.0,0.0,0.0,0.0,0.0,0.0
4017,,,302.1,310.9,7.413970290190444,30.3,186.0,0.0,0.0,0.0,0.0,0.0,0.0
4732,,,303.3,311.6,7.171656822768514,45.1,219.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0
4468,,,302.8,310.6,7.388946097618437,37.9,207.0,0.0,0.0,0.0,0.0,0.0,0.0
3312,,,301.3,310.4,7.286191714702382,44.7,92.0,0.0,0.0,0.0,0.0,0.0,0.0
5445,,,303.0,312.7,7.613324979540639,19.9,102.0,0.0,0.0,0.0,0.0,0.0,0.0
6179,,,301.1,310.9,7.1569563646156364,67.9,10.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.0
9258,,,298.3,309.1,7.167809184316444,58.7,201.0,0.0,0.0,0.0,0.0,0.0,0.0
5455,,,303.0,312.5,7.2875606403097235,40.2,127.0,0.0,0.0,0.0,0.0,0.0,0.0
8324,,,298.7,309.5,7.282073658093465,40.4,108.0,0.0,0.0,0.0,0.0,0.0,0.0
539,,,297.4,310.1,7.313220387090301,36.8,88.0,0.0,0.0,0.0,0.0,0.0,0.0
6356,,,300.1,309.7,7.301147805856032,37.9,34.0,0.0,0.0,0.0,0.0,0.0,0.0
7175,,,300.2,310.2,7.333676395657684,48.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0
220,,,298.3,308.5,7.268920128193722,46.2,148.0,0.0,0.0,0.0,0.0,0.0,0.0
1455,,,299.1,310.4,7.264730177929867,46.9,87.0,0.0,0.0,0.0,0.0,0.0,0.0
2661,,,299.8,310.1,7.163946684342547,56.4,188.0,0.0,0.0,0.0,0.0,0.0,0.0
7649,,,300.4,311.4,7.347943823148687,28.8,135.0,0.0,0.0,0.0,0.0,0.0,0.0
5111,,,304.0,313.5,7.457609289715606,26.2,126.0,0.0,0.0,0.0,0.0,0.0,0.0
4118,,,301.9,310.5,7.201170883281678,55.7,204.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.0
2662,,,299.9,309.4,7.31986492980897,42.8,190.0,0.0,0.0,0.0,0.0,0.0,0.0
5214,,,303.7,312.6,7.265429723253953,43.3,189.0,0.0,0.0,0.0,0.0,0.0,0.0
487,,,297.4,309.1,7.367077059881012,35.9,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2709,,,299.6,309.1,7.726212650507529,15.3,79.0,0.0,0.0,0.0,0.0,0.0,0.0
4919,,,303.3,312.2,7.284820912568604,40.7,48.0,0.0,0.0,0.0,0.0,0.0,0.0
271,,,298.0,308.0,7.327123292259293,39.6,51.0,0.0,0.0,0.0,0.0,0.0,0.0
4858,,,303.7,312.3,7.382124365737512,37.4,103.0,0.0,0.0,0.0,0.0,0.0,0.0
531,,,297.6,309.5,7.444248649496705,32.2,65.0,0.0,0.0,0.0,0.0,0.0,0.0
5479,,,302.7,312.2,7.385230923066573,34.1,186.0,0.0,0.0,0.0,0.0,0.0,0.0
7142,,,300.4,309.8,7.213031659834869,44.4,136.0,0.0,0.0,0.0,0.0,0.0,0.0
3591,,,301.8,310.6,7.247080584585756,46.8,151.0,0.0,0.0,0.0,0.0,0.0,0.0
8131,,,300.0,311.2,7.2399325913204695,43.1,45.0,0.0,0.0,0.0,0.0,0.0,0.0
756,,,296.8,308.1,7.30854279753919,43.7,222.0,0.0,0.0,0.0,0.0,0.0,0.0
6670,,,301.4,310.5,7.360103972989152,33.9,208.0,0.0,0.0,0.0,0.0,0.0,0.0
4856,,,303.7,312.3,7.226936018493289,46.2,98.0,0.0,0.0,0.0,0.0,0.0,0.0
8285,,,298.8,310.6,7.409741954080923,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,,,297.9,308.5,7.170888478512505,53.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0
7251,,,300.1,310.2,7.265429723253953,42.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0
5347,,,303.4,312.7,7.336285660021297,35.5,98.0,0.0,0.0,0.0,0.0,0.0,0.0
2551,,,299.4,309.3,7.220373836723949,48.4,116.0,0.0,0.0,0.0,0.0,0.0,0.0
1515,,,298.1,308.8,7.395721608602045,37.6,12.0,0.0,0.0,0.0,0.0,0.0,0.0
728,,,297.3,310.1,7.313220387090301,37.6,147.0,0.0,0.0,0.0,0.0,0.0,0.0
7750,,,300.4,311.6,7.423568444259167,33.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0
9507,,,299.3,310.4,7.3453648404168685,41.6,25.0,0.0,0.0,0.0,0.0,0.0,0.0
7477,,,300.2,311.5,7.30854279753919,41.8,128.0,0.0,0.0,0.0,0.0,0.0,0.0
4339,,,301.6,309.9,7.242797922793756,43.7,102.0,0.0,0.0,0.0,0.0,0.0,0.0
833,,,296.6,307.4,7.3277805384216315,38.6,173.0,0.0,0.0,0.0,0.0,0.0,0.0
5697,,,302.5,311.9,7.3752557780097545,34.6,112.0,0.0,0.0,0.0,0.0,0.0,0.0
3783,,,302.2,310.8,7.510977752014095,23.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0
6305,,,301.1,310.5,7.334981878871814,37.5,119.0,0.0,0.0,0.0,0.0,0.0,0.0
5938,,,300.6,310.5,7.288244401020124,41.3,68.0,0.0,0.0,0.0,0.0,0.0,0.0
5352,,,303.5,312.9,7.333676395657684,34.5,110.0,0.0,0.0,0.0,0.0,0.0,0.0
4335,,,301.6,309.8,7.29505641646263,42.5,91.0,0.0,0.0,0.0,0.0,0.0,0.0
1842,,,297.7,310.1,7.419979923661835,37.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0
6523,,,301.1,310.1,7.306531398939505,45.8,42.0,0.0,0.0,0.0,0.0,0.0,0.0
4327,,,301.6,310.1,7.217443431696533,55.8,70.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0
7670,,,300.7,311.8,7.198183577101943,58.4,189.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.0
7587,,,300.4,311.1,7.371489295214277,35.5,191.0,0.0,0.0,0.0,0.0,0.0,0.0
8670,,,297.5,308.8,7.294377299288821,52.3,152.0,0.0,0.0,0.0,0.0,0.0,0.0
5309,,,304.0,313.2,7.301147805856032,42.6,213.0,0.0,0.0,0.0,0.0,0.0,0.0
1721,,,298.2,307.7,7.286191714702382,44.5,89.0,0.0,0.0,0.0,0.0,0.0,0.0
2685,,,299.8,309.4,7.2868764117507,37.4,25.0,0.0,0.0,0.0,0.0,0.0,0.0
4279,,,302.0,310.1,7.251344983372214,50.4,172.0,0.0,0.0,0.0,0.0,0.0,0.0
5427,,,302.6,312.3,7.349230824613334,42.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
4714,,,303.5,311.8,7.280697195384741,45.2,173.0,0.0,0.0,0.0,0.0,0.0,0.0
1303,,,298.6,309.8,7.317212408359839,45.7,144.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453
4377,,,301.9,309.6,7.347299700743164,34.6,211.0,0.0,0.0,0.0,0.0,0.0,0.0
6863,,,301.1,310.1,7.233455418621439,49.4,48.0,0.0,0.0,0.0,0.0,0.0,0.0
8384,,,298.8,309.9,7.310550158534422,35.2,60.0,0.0,0.0,0.0,0.0,0.0,0.0
6212,,,300.8,310.6,7.215975002651466,48.8,91.0,0.0,0.0,0.0,0.0,0.0,0.0
3319,,,301.4,310.4,7.270312886079025,49.7,108.0,0.0,0.0,0.0,0.0,0.0,0.0
4427,,,302.6,310.3,7.299797366758161,40.4,105.0,0.0,0.0,0.0,0.0,0.0,0.0
7145,,,300.4,309.8,7.325148957955575,40.3,149.0,0.0,0.0,0.0,0.0,0.0,0.0
2459,,,299.0,308.6,7.268920128193722,45.9,108.0,0.0,0.0,0.0,0.0,0.0,0.0
9516,,,299.0,310.2,7.428333194190806,28.8,49.0,0.0,0.0,0.0,0.0,0.0,0.0
9414,,,298.1,308.6,7.272398392570047,44.9,205.0,0.0,0.0,0.0,0.0,0.0,0.0
2603,,,299.4,309.2,7.2640301428995295,41.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2788,,,300.3,309.6,7.329749689041512,38.4,54.0,0.0,0.0,0.0,0.0,0.0,0.0
3739,,,302.3,311.2,7.282761179605593,43.8,112.0,0.0,0.0,0.0,0.0,0.0,0.0
9590,,,299.2,310.4,7.29505641646263,43.3,32.0,0.0,0.0,0.0,0.0,0.0,0.0
380,,,297.3,310.1,7.470224135899966,26.8,125.0,0.0,0.0,0.0,0.0,0.0,0.0
1315,,,299.0,310.3,7.400009517162692,34.5,168.0,0.0,0.0,0.0,0.0,0.0,0.0
1128,,,296.7,307.8,7.422373700986824,32.4,113.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,,,298.5,308.2,7.171656822768514,66.3,42.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.0
5611,,,303.1,312.4,7.249925536717988,41.2,107.0,0.0,0.0,0.0,0.0,0.0,0.0
982,,,296.2,306.8,7.412160334945205,31.1,136.0,0.0,0.0,0.0,0.0,0.0,0.0
8920,,,297.2,310.1,7.434847875211999,28.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0
9009,,,297.4,308.0,7.273092595999522,42.4,190.0,0.0,0.0,0.0,0.0,0.0,0.0
5864,,,301.4,311.1,7.472500744737558,25.4,88.0,0.0,0.0,0.0,0.0,0.0,0.0
4070,,,301.9,310.7,7.2485040723706105,47.9,80.0,0.0,0.0,0.0,0.0,0.0,0.0
5161,,,304.1,313.2,7.268920128193722,50.1,43.0,0.0,0.0,0.0,0.0,0.0,0.0
9462,,,298.4,309.2,7.254884810077338,46.4,128.0,0.0,0.0,0.0,0.0,0.0,0.0
5426,,,302.5,312.2,7.4821189235521155,27.9,56.0,0.0,0.0,0.0,0.0,0.0,0.0
4428,,,302.4,310.1,7.22983877815125,48.9,107.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0
6032,,,300.6,310.7,7.283448228756631,40.6,82.0,0.0,0.0,0.0,0.0,0.0,0.0
9664,,,299.1,310.1,7.269616749608169,48.8,229.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.0
2740,,,299.8,310.1,7.360739903058278,35.4,158.0,0.0,0.0,0.0,0.0,0.0,0.0
7158,,,300.2,310.1,7.304515946460155,40.1,182.0,0.0,0.0,0.0,0.0,0.0,0.0
7917,,,300.8,310.1,7.321849713788356,37.1,169.0,0.0,0.0,0.0,0.0,0.0,0.0
7776,,,300.3,311.5,7.416979621381154,33.6,38.0,0.0,0.0,0.0,0.0,0.0,0.0
3079,,,300.1,309.4,7.2078598714324755,56.2,127.0,0.0,0.0,0.0,0.0,0.0,0.0
3348,,,301.3,310.6,7.333023014386481,41.8,176.0,0.0,0.0,0.0,0.0,0.0,0.0
8800,,,297.3,308.4,7.29505641646263,41.3,67.0,0.0,0.0,0.0,0.0,0.0,0.0
3614,,,301.7,310.1,7.351158226430694,39.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8388,,,298.8,309.9,7.20934025660291,47.2,73.0,0.0,0.0,0.0,0.0,0.0,0.0
2102,,,299.3,309.3,7.332369205929062,37.8,45.0,0.0,0.0,0.0,0.0,0.0,0.0
8348,,,298.7,309.6,7.418180822726788,31.1,178.0,0.0,0.0,0.0,0.0,0.0,0.0
149,,,298.3,308.3,7.22983877815125,48.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,,,298.3,308.0,7.280697195384741,47.1,196.0,0.0,0.0,0.0,0.0,0.0,0.0
8835,,,297.4,308.8,7.295735072749282,46.2,167.0,0.0,0.0,0.0,0.0,0.0,0.0
7164,,,300.1,310.1,7.31455283232408,39.3,195.0,0.0,0.0,0.0,0.0,0.0,0.0
5574,,,302.5,312.2,7.461065514354283,25.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0
1130,,,296.7,307.9,7.43307534889858,29.6,119.0,0.0,0.0,0.0,0.0,0.0,0.0
157,,,298.4,308.1,7.310550158534422,46.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0
5560,,,302.5,312.0,7.280697195384741,43.2,189.0,0.0,0.0,0.0,0.0,0.0,0.0
5523,,,302.6,311.9,7.282073658093465,39.1,84.0,0.0,0.0,0.0,0.0,0.0,0.0
8112,,,300.4,311.8,7.348587530927593,33.1,209.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.0
7243,,,299.9,310.1,7.277938572945661,51.4,185.0,0.0,0.0,0.0,0.0,0.0,0.0
2678,,,299.8,309.5,7.310550158534422,39.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0
7165,,,300.2,310.1,7.29641326877392,44.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0
5042,,,304.0,313.2,7.181591944611865,47.1,144.0,0.0,0.0,0.0,0.0,0.0,0.0
2256,,,299.1,308.3,7.352441100243583,33.7,30.0,0.0,0.0,0.0,0.0,0.0,0.0
8969,,,297.1,307.8,7.282761179605593,50.6,94.0,0.0,0.0,0.0,0.0,0.0,0.0
5608,,,302.9,312.2,7.465082736399547,25.5,98.0,0.0,0.0,0.0,0.0,0.0,0.0
2212,,,299.6,309.0,7.1276936993473985,64.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,,,297.9,307.6,7.323830566202317,40.5,118.0,0.0,0.0,0.0,0.0,0.0,0.0
2534,,,298.8,308.7,7.307202314764738,33.6,71.0,0.0,0.0,0.0,0.0,0.0,0.0
7079,,,300.7,310.5,7.213768308118642,52.6,199.0,0.0,0.0,0.0,0.0,0.0,0.0
5334,,,303.5,312.6,7.2485040723706105,51.6,62.0,0.0,0.0,0.0,0.0,0.0,0.0
9506,,,299.2,310.3,7.265429723253953,40.1,23.0,0.0,0.0,0.0,0.0,0.0,0.0
5609,,,303.1,312.3,7.392647520721623,31.6,101.0,0.0,0.0,0.0,0.0,0.0,0.0
7723,,,300.5,310.1,7.251344983372214,54.7,104.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,,,296.9,307.9,7.590852123688581,20.4,68.0,0.0,0.0,0.0,0.0,0.0,0.0
3709,,,302.1,311.4,7.346010209913293,44.6,31.0,0.0,0.0,0.0,0.0,0.0,0.0
2755,,,299.6,309.1,7.396948602621014,32.3,194.0,0.0,0.0,0.0,0.0,0.0,0.0
2818,,,300.2,309.5,7.257002707092073,41.1,129.0,0.0,0.0,0.0,0.0,0.0,0.0
6246,,,300.9,310.4,7.27655640271871,41.7,180.0,0.0,0.0,0.0,0.0,0.0,0.0
7090,,,300.6,310.2,7.392031567514591,34.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1092,,,297.0,307.7,7.277938572945661,46.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0
1384,,,298.9,310.2,7.194436851100335,49.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
8124,,,300.2,311.5,7.323830566202317,36.8,27.0,0.0,0.0,0.0,0.0,0.0,0.0
4990,,,303.9,313.2,7.313220387090301,37.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2843,,,300.3,309.3,7.204892510204673,53.5,192.0,0.0,0.0,0.0,0.0,0.0,0.0
6473,,,300.4,310.1,7.360103972989152,33.6,126.0,0.0,0.0,0.0,0.0,0.0,0.0
2986,,,300.7,309.8,7.3758821482150125,31.5,123.0,0.0,0.0,0.0,0.0,0.0,0.0
6954,,,300.8,311.3,7.288244401020124,41.4,75.0,0.0,0.0,0.0,0.0,0.0,0.0
4052,,,301.8,310.8,7.232733136177615,46.4,37.0,0.0,0.0,0.0,0.0,0.0,0.0
8380,,,298.8,309.9,7.396335293800808,31.9,49.0,0.0,0.0,0.0,0.0,0.0,0.0
9405,,,297.7,308.2,7.60489448081162,19.3,181.0,0.0,0.0,0.0,0.0,0.0,0.0
2984,,,300.6,309.6,7.1631723908466425,57.4,119.0,0.0,0.0,0.0,0.0,0.0,0.0
5813,,,301.4,311.1,7.310550158534422,36.3,193.0,0.0,0.0,0.0,0.0,0.0,0.0
695,,,297.6,309.1,7.240649694255466,50.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
3638,,,302.2,311.4,7.394493107219038,31.6,62.0,0.0,0.0,0.0,0.0,0.0,0.0
4018,,,302.0,310.8,7.551186867296149,23.4,188.0,0.0,0.0,0.0,0.0,0.0,0.0
786,,,296.9,308.0,7.311886164077165,44.8,57.0,0.0,0.0,0.0,0.0,0.0,0.0
7237,,,299.8,310.1,7.2868764117507,37.1,169.0,0.0,0.0,0.0,0.0,0.0,0.0
5184,,,303.9,310.1,7.550661243105336,22.5,110.0,0.0,0.0,0.0,0.0,0.0,0.0
5569,,,302.5,312.1,7.336285660021297,38.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7472,,,300.3,311.7,7.2196420401307355,53.3,113.0,0.0,0.0,0.0,0.0,0.0,0.0
3144,,,300.6,310.0,7.258412150595307,42.4,90.0,0.0,0.0,0.0,0.0,0.0,0.0
9563,,,299.7,311.0,7.269616749608169,50.1,168.0,0.0,0.0,0.0,0.0,0.0,0.0
3440,,,301.4,310.3,7.30854279753919,41.4,195.0,0.0,0.0,0.0,0.0,0.0,0.0
518,,,297.5,309.4,7.238496840894365,58.2,34.0,0.0,0.0,0.0,0.0,0.0,0.0
7640,,,300.5,311.4,7.2909747781429814,41.8,112.0,0.0,0.0,0.0,0.0,0.0,0.0
5002,,,303.6,312.7,7.684783943522785,17.6,37.0,0.0,0.0,0.0,0.0,0.0,0.0
309,,,297.9,308.5,7.174724309836376,47.2,155.0,0.0,0.0,0.0,0.0,0.0,0.0
2261,,,299.1,308.3,7.3277805384216315,36.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0
5781,,,301.7,311.2,7.325148957955575,42.4,113.0,0.0,0.0,0.0,0.0,0.0,0.0
75,,,298.9,309.0,7.379008127628304,32.3,202.0,0.0,0.0,0.0,0.0,0.0,0.0
4160,,,302.0,310.5,7.402451520818244,32.9,94.0,0.0,0.0,0.0,0.0,0.0,0.0
4075,,,302.0,310.1,7.282073658093465,42.7,92.0,0.0,0.0,0.0,0.0,0.0,0.0
4322,,,301.7,310.2,7.430707082545968,28.9,59.0,0.0,0.0,0.0,0.0,0.0,0.0
3087,,,300.0,309.2,7.384610383176974,32.1,150.0,0.0,0.0,0.0,0.0,0.0,0.0
9633,,,299.0,310.0,7.198931240688173,57.4,146.0,0.0,0.0,0.0,0.0,0.0,0.0
6462,,,300.6,310.0,7.317212408359839,35.9,95.0,0.0,0.0,0.0,0.0,0.0,0.0
7678,,,300.6,311.7,7.264730177929867,52.6,208.0,0.0,0.0,0.0,0.0,0.0,0.0
797,,,296.9,307.9,7.606387389772652,18.9,86.0,0.0,0.0,0.0,0.0,0.0,0.0
1388,,,298.9,310.1,7.508787170634276,26.1,131.0,0.0,0.0,0.0,0.0,0.0,0.0
6250,,,300.7,310.1,7.341483852363161,35.5,191.0,0.0,0.0,0.0,0.0,0.0,0.0
